t,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60,d_61,d_62,d_63,d_64,d_65,d_66,d_67,d_68,d_69,d_70,d_71,d_72,d_73
4772,86.0,77.0,142.6,58.9,56.6,108.7,99.6,135.8,138.1,154.0,0.0,0.0,210.6,154.0,251.3,79.2,0.0,264.9,144.9,101.9,0.0,0.0,0.0,0.0,86.0,77.0,142.6,58.9,56.6,108.7,99.6,135.8,138.1,154.0,0.0,0.0,210.6,154.0,251.3,79.2,0.0,264.9,144.9,101.9,0.0,0.0,0.0,0.0,86.0,77.0,142.6,58.9,56.6,108.7,99.6,135.8,138.1,154.0,0.0,0.0,210.6,154.0,251.3,79.2,0.0,264.9,144.9,101.9,0.0,0.0,0.0,0.0,0.0
4773,87.0,77.8,144.2,59.5,57.2,109.9,100.7,137.3,139.6,155.6,0.0,0.0,212.8,155.6,254.0,80.1,0.0,267.8,146.5,103.0,0.0,0.0,0.0,0.0,87.0,77.8,144.2,59.5,57.2,109.9,100.7,137.3,139.6,155.6,0.0,0.0,212.8,155.6,254.0,80.1,0.0,267.8,146.5,103.0,0.0,0.0,0.0,0.0,87.0,77.8,144.2,59.5,57.2,109.9,100.7,137.3,139.6,155.6,0.0,0.0,212.8,155.6,254.0,80.1,0.0,267.8,146.5,103.0,0.0,0.0,0.0,0.0,0.0
4774,81.4,72.8,134.9,55.7,53.5,102.8,94.2,128.5,130.6,145.6,0.0,0.0,199.1,145.6,237.7,74.9,0.0,250.5,137.0,96.3,0.0,0.0,0.0,0.0,81.4,72.8,134.9,55.7,53.5,102.8,94.2,128.5,130.6,145.6,0.0,0.0,199.1,145.6,237.7,74.9,0.0,250.5,137.0,96.3,0.0,0.0,0.0,0.0,81.4,72.8,134.9,55.7,53.5,102.8,94.2,128.5,130.6,145.6,0.0,0.0,199.1,145.6,237.7,74.9,0.0,250.5,137.0,96.3,0.0,0.0,0.0,0.0,0.0
4775,67.3,60.2,111.6,46.1,44.3,85.0,78.0,106.3,108.1,120.5,0.0,0.0,164.8,120.5,196.7,62.0,0.0,207.3,113.4,79.7,0.0,0.0,0.0,0.0,67.3,60.2,111.6,46.1,44.3,85.0,78.0,106.3,108.1,120.5,0.0,0.0,164.8,120.5,196.7,62.0,0.0,207.3,113.4,79.7,0.0,0.0,0.0,0.0,67.3,60.2,111.6,46.1,44.3,85.0,78.0,106.3,108.1,120.5,0.0,0.0,164.8,120.5,196.7,62.0,0.0,207.3,113.4,79.7,0.0,0.0,0.0,0.0,0.0
4776,58.6,52.5,97.2,40.1,38.6,74.1,67.9,92.6,94.1,104.9,0.0,0.0,143.5,104.9,171.3,54.0,0.0,180.5,98.7,69.4,0.0,0.0,0.0,0.0,58.6,52.5,97.2,40.1,38.6,74.1,67.9,92.6,94.1,104.9,0.0,0.0,143.5,104.9,171.3,54.0,0.0,180.5,98.7,69.4,0.0,0.0,0.0,0.0,58.6,52.5,97.2,40.1,38.6,74.1,67.9,92.6,94.1,104.9,0.0,0.0,143.5,104.9,171.3,54.0,0.0,180.5,98.7,69.4,0.0,0.0,0.0,0.0,0.0
4777,55.0,49.2,91.1,37.6,36.2,69.4,63.6,86.8,88.2,98.4,0.0,0.0,134.5,98.4,160.6,50.6,0.0,169.2,92.6,65.1,0.0,0.0,0.0,0.0,55.0,49.2,91.1,37.6,36.2,69.4,63.6,86.8,88.2,98.4,0.0,0.0,134.5,98.4,160.6,50.6,0.0,169.2,92.6,65.1,0.0,0.0,0.0,0.0,55.0,49.2,91.1,37.6,36.2,69.4,63.6,86.8,88.2,98.4,0.0,0.0,134.5,98.4,160.6,50.6,0.0,169.2,92.6,65.1,0.0,0.0,0.0,0.0,0.0
4778,53.1,47.5,88.1,36.4,35.0,67.1,61.5,83.9,85.3,95.1,0.0,0.0,130.0,95.1,155.2,48.9,0.0,163.6,89.5,62.9,0.0,0.0,0.0,0.0,53.1,47.5,88.1,36.4,35.0,67.1,61.5,83.9,85.3,95.1,0.0,0.0,130.0,95.1,155.2,48.9,0.0,163.6,89.5,62.9,0.0,0.0,0.0,0.0,53.1,47.5,88.1,36.4,35.0,67.1,61.5,83.9,85.3,95.1,0.0,0.0,130.0,95.1,155.2,48.9,0.0,163.6,89.5,62.9,0.0,0.0,0.0,0.0,0.0
4779,51.3,45.9,85.0,35.1,33.7,64.8,59.4,81.0,82.3,91.8,0.0,0.0,125.5,91.8,149.8,47.2,0.0,157.9,86.4,60.7,0.0,0.0,0.0,0.0,51.3,45.9,85.0,35.1,33.7,64.8,59.4,81.0,82.3,91.8,0.0,0.0,125.5,91.8,149.8,47.2,0.0,157.9,86.4,60.7,0.0,0.0,0.0,0.0,51.3,45.9,85.0,35.1,33.7,64.8,59.4,81.0,82.3,91.8,0.0,0.0,125.5,91.8,149.8,47.2,0.0,157.9,86.4,60.7,0.0,0.0,0.0,0.0,0.0
4780,51.3,45.9,85.0,35.1,33.7,64.8,59.4,81.0,82.3,91.8,0.0,0.0,125.5,91.8,149.8,47.2,0.0,157.9,86.4,60.7,0.0,0.0,0.0,0.0,51.3,45.9,85.0,35.1,33.7,64.8,59.4,81.0,82.3,91.8,0.0,0.0,125.5,91.8,149.8,47.2,0.0,157.9,86.4,60.7,0.0,0.0,0.0,0.0,51.3,45.9,85.0,35.1,33.7,64.8,59.4,81.0,82.3,91.8,0.0,0.0,125.5,91.8,149.8,47.2,0.0,157.9,86.4,60.7,0.0,0.0,0.0,0.0,0.0
4781,53.1,47.5,88.1,36.4,35.0,67.1,61.5,83.9,85.3,95.1,0.0,0.0,130.0,95.1,155.2,48.9,0.0,163.6,89.5,62.9,0.0,0.0,0.0,0.0,53.1,47.5,88.1,36.4,35.0,67.1,61.5,83.9,85.3,95.1,0.0,0.0,130.0,95.1,155.2,48.9,0.0,163.6,89.5,62.9,0.0,0.0,0.0,0.0,53.1,47.5,88.1,36.4,35.0,67.1,61.5,83.9,85.3,95.1,0.0,0.0,130.0,95.1,155.2,48.9,0.0,163.6,89.5,62.9,0.0,0.0,0.0,0.0,0.0
4782,58.6,52.5,97.2,40.1,38.6,74.1,67.9,92.6,94.1,104.9,0.0,0.0,143.5,104.9,171.3,54.0,0.0,180.5,98.7,69.4,0.0,0.0,0.0,0.0,58.6,52.5,97.2,40.1,38.6,74.1,67.9,92.6,94.1,104.9,0.0,0.0,143.5,104.9,171.3,54.0,0.0,180.5,98.7,69.4,0.0,0.0,0.0,0.0,58.6,52.5,97.2,40.1,38.6,74.1,67.9,92.6,94.1,104.9,0.0,0.0,143.5,104.9,171.3,54.0,0.0,180.5,98.7,69.4,0.0,0.0,0.0,0.0,0.0
4783,69.6,62.3,115.4,47.6,45.8,87.9,80.6,109.9,111.8,124.6,0.0,0.0,170.4,124.6,203.4,64.1,0.0,214.4,117.3,82.4,0.0,0.0,0.0,0.0,69.6,62.3,115.4,47.6,45.8,87.9,80.6,109.9,111.8,124.6,0.0,0.0,170.4,124.6,203.4,64.1,0.0,214.4,117.3,82.4,0.0,0.0,0.0,0.0,69.6,62.3,115.4,47.6,45.8,87.9,80.6,109.9,111.8,124.6,0.0,0.0,170.4,124.6,203.4,64.1,0.0,214.4,117.3,82.4,0.0,0.0,0.0,0.0,0.0
4784,79.7,71.3,132.1,54.5,52.4,100.7,92.3,125.8,127.9,142.6,0.0,0.0,195.0,142.6,232.8,73.4,0.0,245.4,134.2,94.4,0.0,0.0,0.0,0.0,79.7,71.3,132.1,54.5,52.4,100.7,92.3,125.8,127.9,142.6,0.0,0.0,195.0,142.6,232.8,73.4,0.0,245.4,134.2,94.4,0.0,0.0,0.0,0.0,79.7,71.3,132.1,54.5,52.4,100.7,92.3,125.8,127.9,142.6,0.0,0.0,195.0,142.6,232.8,73.4,0.0,245.4,134.2,94.4,0.0,0.0,0.0,0.0,0.0
4785,87.0,77.9,144.3,59.5,57.3,109.9,100.8,137.4,139.7,155.7,0.0,0.0,213.0,155.7,254.2,80.2,0.0,267.9,146.6,103.1,0.0,0.0,0.0,0.0,87.0,77.9,144.3,59.5,57.3,109.9,100.8,137.4,139.7,155.7,0.0,0.0,213.0,155.7,254.2,80.2,0.0,267.9,146.6,103.1,0.0,0.0,0.0,0.0,87.0,77.9,144.3,59.5,57.3,109.9,100.8,137.4,139.7,155.7,0.0,0.0,213.0,155.7,254.2,80.2,0.0,267.9,146.6,103.1,0.0,0.0,0.0,0.0,0.0
4786,90.7,81.1,150.4,62.1,59.7,114.6,105.0,143.2,145.6,162.3,0.0,0.0,222.0,162.3,264.9,83.5,0.0,279.2,152.7,107.4,0.0,0.0,0.0,0.0,90.7,81.1,150.4,62.1,59.7,114.6,105.0,143.2,145.6,162.3,0.0,0.0,222.0,162.3,264.9,83.5,0.0,279.2,152.7,107.4,0.0,0.0,0.0,0.0,90.7,81.1,150.4,62.1,59.7,114.6,105.0,143.2,145.6,162.3,0.0,0.0,222.0,162.3,264.9,83.5,0.0,279.2,152.7,107.4,0.0,0.0,0.0,0.0,0.0
4787,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,0.0
4788,90.7,81.1,150.4,62.1,59.7,114.6,105.0,143.2,145.6,162.3,0.0,0.0,222.0,162.3,264.9,83.5,0.0,279.2,152.7,107.4,0.0,0.0,0.0,0.0,90.7,81.1,150.4,62.1,59.7,114.6,105.0,143.2,145.6,162.3,0.0,0.0,222.0,162.3,264.9,83.5,0.0,279.2,152.7,107.4,0.0,0.0,0.0,0.0,90.7,81.1,150.4,62.1,59.7,114.6,105.0,143.2,145.6,162.3,0.0,0.0,222.0,162.3,264.9,83.5,0.0,279.2,152.7,107.4,0.0,0.0,0.0,0.0,0.0
4789,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,0.0
4790,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,91.6,82.0,151.9,62.7,60.3,115.7,106.1,144.6,147.1,163.9,0.0,0.0,224.2,163.9,267.6,84.4,0.0,282.1,154.3,108.5,0.0,0.0,0.0,0.0,0.0
4791,88.9,79.5,147.3,60.8,58.5,112.2,102.9,140.3,142.6,159.0,0.0,0.0,217.5,159.0,259.6,81.8,0.0,273.6,149.7,105.2,0.0,0.0,0.0,0.0,88.9,79.5,147.3,60.8,58.5,112.2,102.9,140.3,142.6,159.0,0.0,0.0,217.5,159.0,259.6,81.8,0.0,273.6,149.7,105.2,0.0,0.0,0.0,0.0,88.9,79.5,147.3,60.8,58.5,112.2,102.9,140.3,142.6,159.0,0.0,0.0,217.5,159.0,259.6,81.8,0.0,273.6,149.7,105.2,0.0,0.0,0.0,0.0,0.0
4792,87.9,78.7,145.8,60.2,57.9,111.1,101.8,138.9,141.2,157.4,0.0,0.0,215.2,157.4,256.9,81.0,0.0,270.8,148.1,104.1,0.0,0.0,0.0,0.0,87.9,78.7,145.8,60.2,57.9,111.1,101.8,138.9,141.2,157.4,0.0,0.0,215.2,157.4,256.9,81.0,0.0,270.8,148.1,104.1,0.0,0.0,0.0,0.0,87.9,78.7,145.8,60.2,57.9,111.1,101.8,138.9,141.2,157.4,0.0,0.0,215.2,157.4,256.9,81.0,0.0,270.8,148.1,104.1,0.0,0.0,0.0,0.0,0.0
4793,87.9,78.7,145.8,60.2,57.9,111.1,101.8,138.9,141.2,157.4,0.0,0.0,215.2,157.4,256.9,81.0,0.0,270.8,148.1,104.1,0.0,0.0,0.0,0.0,87.9,78.7,145.8,60.2,57.9,111.1,101.8,138.9,141.2,157.4,0.0,0.0,215.2,157.4,256.9,81.0,0.0,270.8,148.1,104.1,0.0,0.0,0.0,0.0,87.9,78.7,145.8,60.2,57.9,111.1,101.8,138.9,141.2,157.4,0.0,0.0,215.2,157.4,256.9,81.0,0.0,270.8,148.1,104.1,0.0,0.0,0.0,0.0,0.0
4794,85.2,76.2,141.2,58.3,56.0,107.6,98.6,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.3,143.5,100.9,0.0,0.0,0.0,0.0,85.2,76.2,141.2,58.3,56.0,107.6,98.6,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.3,143.5,100.9,0.0,0.0,0.0,0.0,85.2,76.2,141.2,58.3,56.0,107.6,98.6,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.3,143.5,100.9,0.0,0.0,0.0,0.0,0.0
4795,84.3,75.4,139.7,57.7,55.4,106.5,97.6,133.1,135.3,150.8,0.0,0.0,206.3,150.8,246.2,77.6,0.0,259.5,141.9,99.8,0.0,0.0,0.0,0.0,84.3,75.4,139.7,57.7,55.4,106.5,97.6,133.1,135.3,150.8,0.0,0.0,206.3,150.8,246.2,77.6,0.0,259.5,141.9,99.8,0.0,0.0,0.0,0.0,84.3,75.4,139.7,57.7,55.4,106.5,97.6,133.1,135.3,150.8,0.0,0.0,206.3,150.8,246.2,77.6,0.0,259.5,141.9,99.8,0.0,0.0,0.0,0.0,0.0
4796,84.3,75.4,139.7,57.7,55.4,106.5,97.6,133.1,135.3,150.8,0.0,0.0,206.3,150.8,246.2,77.6,0.0,259.5,141.9,99.8,0.0,0.0,0.0,0.0,84.3,75.4,139.7,57.7,55.4,106.5,97.6,133.1,135.3,150.8,0.0,0.0,206.3,150.8,246.2,77.6,0.0,259.5,141.9,99.8,0.0,0.0,0.0,0.0,84.3,75.4,139.7,57.7,55.4,106.5,97.6,133.1,135.3,150.8,0.0,0.0,206.3,150.8,246.2,77.6,0.0,259.5,141.9,99.8,0.0,0.0,0.0,0.0,0.0
4797,85.2,76.2,141.2,58.3,56.0,107.6,98.6,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.3,143.5,100.9,0.0,0.0,0.0,0.0,85.2,76.2,141.2,58.3,56.0,107.6,98.6,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.3,143.5,100.9,0.0,0.0,0.0,0.0,85.2,76.2,141.2,58.3,56.0,107.6,98.6,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.3,143.5,100.9,0.0,0.0,0.0,0.0,0.0
4798,79.7,71.3,132.1,54.5,52.4,100.7,92.3,125.8,127.9,142.6,0.0,0.0,195.0,142.6,232.8,73.4,0.0,245.4,134.2,94.4,0.0,0.0,0.0,0.0,79.7,71.3,132.1,54.5,52.4,100.7,92.3,125.8,127.9,142.6,0.0,0.0,195.0,142.6,232.8,73.4,0.0,245.4,134.2,94.4,0.0,0.0,0.0,0.0,79.7,71.3,132.1,54.5,52.4,100.7,92.3,125.8,127.9,142.6,0.0,0.0,195.0,142.6,232.8,73.4,0.0,245.4,134.2,94.4,0.0,0.0,0.0,0.0,0.0
4799,66.0,59.0,109.3,45.1,43.4,83.3,76.4,104.1,105.9,118.0,0.0,0.0,161.4,118.0,192.7,60.7,0.0,203.1,111.1,78.1,0.0,0.0,0.0,0.0,66.0,59.0,109.3,45.1,43.4,83.3,76.4,104.1,105.9,118.0,0.0,0.0,161.4,118.0,192.7,60.7,0.0,203.1,111.1,78.1,0.0,0.0,0.0,0.0,66.0,59.0,109.3,45.1,43.4,83.3,76.4,104.1,105.9,118.0,0.0,0.0,161.4,118.0,192.7,60.7,0.0,203.1,111.1,78.1,0.0,0.0,0.0,0.0,0.0
4800,57.4,51.4,95.2,39.3,37.8,72.5,66.5,90.6,92.2,102.7,0.0,0.0,140.5,102.7,167.7,52.9,0.0,176.8,96.7,68.0,0.0,0.0,0.0,0.0,57.4,51.4,95.2,39.3,37.8,72.5,66.5,90.6,92.2,102.7,0.0,0.0,140.5,102.7,167.7,52.9,0.0,176.8,96.7,68.0,0.0,0.0,0.0,0.0,57.4,51.4,95.2,39.3,37.8,72.5,66.5,90.6,92.2,102.7,0.0,0.0,140.5,102.7,167.7,52.9,0.0,176.8,96.7,68.0,0.0,0.0,0.0,0.0,0.0
4801,53.8,48.2,89.2,36.8,35.4,68.0,62.3,85.0,86.4,96.3,0.0,0.0,131.7,96.3,157.2,49.6,0.0,165.7,90.6,63.7,0.0,0.0,0.0,0.0,53.8,48.2,89.2,36.8,35.4,68.0,62.3,85.0,86.4,96.3,0.0,0.0,131.7,96.3,157.2,49.6,0.0,165.7,90.6,63.7,0.0,0.0,0.0,0.0,53.8,48.2,89.2,36.8,35.4,68.0,62.3,85.0,86.4,96.3,0.0,0.0,131.7,96.3,157.2,49.6,0.0,165.7,90.6,63.7,0.0,0.0,0.0,0.0,0.0
4802,52.0,46.5,86.3,35.6,34.2,65.7,60.2,82.1,83.5,93.1,0.0,0.0,127.3,93.1,152.0,47.9,0.0,160.2,87.6,61.6,0.0,0.0,0.0,0.0,52.0,46.5,86.3,35.6,34.2,65.7,60.2,82.1,83.5,93.1,0.0,0.0,127.3,93.1,152.0,47.9,0.0,160.2,87.6,61.6,0.0,0.0,0.0,0.0,52.0,46.5,86.3,35.6,34.2,65.7,60.2,82.1,83.5,93.1,0.0,0.0,127.3,93.1,152.0,47.9,0.0,160.2,87.6,61.6,0.0,0.0,0.0,0.0,0.0
4803,50.2,44.9,83.3,34.4,33.0,63.4,58.2,79.3,80.6,89.9,0.0,0.0,122.9,89.9,146.7,46.3,0.0,154.7,84.6,59.5,0.0,0.0,0.0,0.0,50.2,44.9,83.3,34.4,33.0,63.4,58.2,79.3,80.6,89.9,0.0,0.0,122.9,89.9,146.7,46.3,0.0,154.7,84.6,59.5,0.0,0.0,0.0,0.0,50.2,44.9,83.3,34.4,33.0,63.4,58.2,79.3,80.6,89.9,0.0,0.0,122.9,89.9,146.7,46.3,0.0,154.7,84.6,59.5,0.0,0.0,0.0,0.0,0.0
4804,50.2,44.9,83.3,34.4,33.0,63.4,58.2,79.3,80.6,89.9,0.0,0.0,122.9,89.9,146.7,46.3,0.0,154.7,84.6,59.5,0.0,0.0,0.0,0.0,50.2,44.9,83.3,34.4,33.0,63.4,58.2,79.3,80.6,89.9,0.0,0.0,122.9,89.9,146.7,46.3,0.0,154.7,84.6,59.5,0.0,0.0,0.0,0.0,50.2,44.9,83.3,34.4,33.0,63.4,58.2,79.3,80.6,89.9,0.0,0.0,122.9,89.9,146.7,46.3,0.0,154.7,84.6,59.5,0.0,0.0,0.0,0.0,0.0
4805,52.0,46.5,86.3,35.6,34.2,65.7,60.2,82.1,83.5,93.1,0.0,0.0,127.3,93.1,152.0,47.9,0.0,160.2,87.6,61.6,0.0,0.0,0.0,0.0,52.0,46.5,86.3,35.6,34.2,65.7,60.2,82.1,83.5,93.1,0.0,0.0,127.3,93.1,152.0,47.9,0.0,160.2,87.6,61.6,0.0,0.0,0.0,0.0,52.0,46.5,86.3,35.6,34.2,65.7,60.2,82.1,83.5,93.1,0.0,0.0,127.3,93.1,152.0,47.9,0.0,160.2,87.6,61.6,0.0,0.0,0.0,0.0,0.0
4806,57.4,51.4,95.2,39.3,37.8,72.5,66.5,90.6,92.2,102.7,0.0,0.0,140.5,102.7,167.7,52.9,0.0,176.8,96.7,68.0,0.0,0.0,0.0,0.0,57.4,51.4,95.2,39.3,37.8,72.5,66.5,90.6,92.2,102.7,0.0,0.0,140.5,102.7,167.7,52.9,0.0,176.8,96.7,68.0,0.0,0.0,0.0,0.0,57.4,51.4,95.2,39.3,37.8,72.5,66.5,90.6,92.2,102.7,0.0,0.0,140.5,102.7,167.7,52.9,0.0,176.8,96.7,68.0,0.0,0.0,0.0,0.0,0.0
4807,68.2,61.0,113.0,46.6,44.8,86.1,78.9,107.6,109.4,122.0,0.0,0.0,166.8,122.0,199.1,62.8,0.0,209.9,114.8,80.7,0.0,0.0,0.0,0.0,68.2,61.0,113.0,46.6,44.8,86.1,78.9,107.6,109.4,122.0,0.0,0.0,166.8,122.0,199.1,62.8,0.0,209.9,114.8,80.7,0.0,0.0,0.0,0.0,68.2,61.0,113.0,46.6,44.8,86.1,78.9,107.6,109.4,122.0,0.0,0.0,166.8,122.0,199.1,62.8,0.0,209.9,114.8,80.7,0.0,0.0,0.0,0.0,0.0
4808,78.0,69.8,129.4,53.4,51.3,98.6,90.4,123.2,125.3,139.6,0.0,0.0,191.0,139.6,228.0,71.9,0.0,240.3,131.4,92.4,0.0,0.0,0.0,0.0,78.0,69.8,129.4,53.4,51.3,98.6,90.4,123.2,125.3,139.6,0.0,0.0,191.0,139.6,228.0,71.9,0.0,240.3,131.4,92.4,0.0,0.0,0.0,0.0,78.0,69.8,129.4,53.4,51.3,98.6,90.4,123.2,125.3,139.6,0.0,0.0,191.0,139.6,228.0,71.9,0.0,240.3,131.4,92.4,0.0,0.0,0.0,0.0,0.0
4809,85.2,76.2,141.3,58.3,56.1,107.6,98.7,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.4,143.5,100.9,0.0,0.0,0.0,0.0,85.2,76.2,141.3,58.3,56.1,107.6,98.7,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.4,143.5,100.9,0.0,0.0,0.0,0.0,85.2,76.2,141.3,58.3,56.1,107.6,98.7,134.5,136.8,152.5,0.0,0.0,208.5,152.5,248.9,78.5,0.0,262.4,143.5,100.9,0.0,0.0,0.0,0.0,0.0
4810,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.5,158.9,0.0,0.0,217.3,158.9,259.4,81.8,0.0,273.4,149.6,105.2,0.0,0.0,0.0,0.0,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.5,158.9,0.0,0.0,217.3,158.9,259.4,81.8,0.0,273.4,149.6,105.2,0.0,0.0,0.0,0.0,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.5,158.9,0.0,0.0,217.3,158.9,259.4,81.8,0.0,273.4,149.6,105.2,0.0,0.0,0.0,0.0,0.0
4811,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,0.0
4812,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.5,158.9,0.0,0.0,217.3,158.9,259.4,81.8,0.0,273.4,149.6,105.2,0.0,0.0,0.0,0.0,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.5,158.9,0.0,0.0,217.3,158.9,259.4,81.8,0.0,273.4,149.6,105.2,0.0,0.0,0.0,0.0,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.5,158.9,0.0,0.0,217.3,158.9,259.4,81.8,0.0,273.4,149.6,105.2,0.0,0.0,0.0,0.0,0.0
4813,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,0.0
4814,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,89.7,80.3,148.7,61.4,59.0,113.3,103.9,141.6,144.0,160.5,0.0,0.0,219.5,160.5,262.0,82.6,0.0,276.2,151.1,106.2,0.0,0.0,0.0,0.0,0.0
4815,87.0,77.8,144.2,59.5,57.2,109.9,100.7,137.4,139.7,155.7,0.0,0.0,212.9,155.7,254.2,80.1,0.0,267.9,146.5,103.0,0.0,0.0,0.0,0.0,87.0,77.8,144.2,59.5,57.2,109.9,100.7,137.4,139.7,155.7,0.0,0.0,212.9,155.7,254.2,80.1,0.0,267.9,146.5,103.0,0.0,0.0,0.0,0.0,87.0,77.8,144.2,59.5,57.2,109.9,100.7,137.4,139.7,155.7,0.0,0.0,212.9,155.7,254.2,80.1,0.0,267.9,146.5,103.0,0.0,0.0,0.0,0.0,0.0
4816,86.1,77.0,142.8,58.9,56.7,108.8,99.7,136.0,138.2,154.1,0.0,0.0,210.7,154.1,251.5,79.3,0.0,265.1,145.0,102.0,0.0,0.0,0.0,0.0,86.1,77.0,142.8,58.9,56.7,108.8,99.7,136.0,138.2,154.1,0.0,0.0,210.7,154.1,251.5,79.3,0.0,265.1,145.0,102.0,0.0,0.0,0.0,0.0,86.1,77.0,142.8,58.9,56.7,108.8,99.7,136.0,138.2,154.1,0.0,0.0,210.7,154.1,251.5,79.3,0.0,265.1,145.0,102.0,0.0,0.0,0.0,0.0,0.0
4817,86.1,77.0,142.8,58.9,56.7,108.8,99.7,136.0,138.2,154.1,0.0,0.0,210.7,154.1,251.5,79.3,0.0,265.1,145.0,102.0,0.0,0.0,0.0,0.0,86.1,77.0,142.8,58.9,56.7,108.8,99.7,136.0,138.2,154.1,0.0,0.0,210.7,154.1,251.5,79.3,0.0,265.1,145.0,102.0,0.0,0.0,0.0,0.0,86.1,77.0,142.8,58.9,56.7,108.8,99.7,136.0,138.2,154.1,0.0,0.0,210.7,154.1,251.5,79.3,0.0,265.1,145.0,102.0,0.0,0.0,0.0,0.0,0.0
